id,name,email,phone,description,balance,currency,delinquent,country,city,tax_exempt,created
cus_e8ae5495b21442a2832b18b1,Jessica Rodriguez,jessica.rodriguez451@example.com,,,0,usd,False,United Kingdom,London,none,2025-04-29T09:45:00Z
cus_2306be93feec4a13b0987c07,Jennifer Jones,jennifer.jones155@example.com,,,0,usd,False,India,Bangalore,none,2025-04-29T11:24:00Z
cus_2f0cdf8a3d0d40708bc73d67,Lisa Jackson,lisa.jackson478@example.com,,,0,usd,False,United States,New York,none,2025-04-29T14:03:00Z
cus_03212eff5b9b452c8065dc14,Alex Taylor,alex.taylor7@example.com,,,0,usd,False,France,Paris,none,2025-04-29T13:19:00Z
cus_7779b7d8f9ef467288c7dcce,Joseph Taylor,joseph.taylor225@example.com,,,0,usd,False,United Kingdom,London,none,2025-04-29T12:27:00Z
cus_a3e8b02fbf43465fba5c90fa,Olivia Allen,olivia.allen131@example.com,,,0,usd,False,Canada,Toronto,none,2025-04-29T17:34:00Z
cus_9e65f8c8903d45a3aef18146,Emma Jones,emma.jones888@example.com,,,0,usd,False,United States,San Francisco,none,2025-04-29T15:11:00Z
cus_ae9045d8aaad4dbfa7495e16,Lisa Clark,lisa.clark901@example.com,,,0,usd,False,United Kingdom,London,none,2025-04-29T14:17:00Z
cus_ef85aed76b6249f5a60910b5,Brian Smith,brian.smith768@example.com,,,0,usd,False,France,Paris,none,2025-04-29T16:03:00Z
cus_c0b10655a2f9470cacc4d3c7,Robert Clark,robert.clark32@example.com,,,0,usd,False,Australia,Sydney,none,2025-04-29T11:12:00Z
cus_509fe8322cd7491d8ce551a7,John Robinson,john.robinson784@example.com,,,0,usd,False,United Kingdom,London,none,2025-04-30T16:13:00Z
cus_dc93b24d72b64958a24ce5d1,Elizabeth Lewis,elizabeth.lewis923@example.com,,,0,usd,False,United States,New York,none,2025-04-30T17:00:00Z
cus_00b607f1b6d143f9b96e985c,Barbara Brown,barbara.brown677@example.com,,,0,usd,False,United Kingdom,London,none,2025-04-30T21:01:00Z
cus_6a7aafa21a444add8b9d0e64,Mary Garcia,mary.garcia272@example.com,,,0,usd,False,Germany,Berlin,none,2025-04-30T08:08:00Z
cus_0921c3cbee6e49c08d48faef,Nancy Moore,nancy.moore608@example.com,,,0,usd,False,United Kingdom,London,none,2025-04-30T09:28:00Z
cus_a6076bc57bb445ae8c605ff1,Karen Thomas,karen.thomas659@example.com,,,0,usd,False,Canada,Toronto,none,2025-04-30T08:03:00Z
cus_06d73d445e8b4785b8c4735f,Sophia White,sophia.white932@example.com,,,0,usd,False,Canada,Toronto,none,2025-04-30T15:04:00Z
cus_e5c1966770584128a13b7cba,Sarah Lee,sarah.lee649@example.com,,,0,usd,False,United States,San Francisco,none,2025-04-30T17:35:00Z
cus_5a73abcaa8404fdd8072367d,John Martinez,john.martinez408@example.com,,,0,usd,False,India,Bangalore,none,2025-05-01T19:46:00Z
cus_0a72bedf42de4979b53b557b,John Jones,john.jones996@example.com,,,0,usd,False,France,Paris,none,2025-05-01T13:41:00Z
cus_5a0e672b31b94af499bd7acf,Barbara Clark,barbara.clark990@example.com,,,0,usd,False,United States,New York,none,2025-05-01T10:27:00Z
cus_875afda25984451eb999b3a7,Karen Garcia,karen.garcia166@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-01T13:59:00Z
cus_01f20f341aea42458fdeab51,Jennifer Rodriguez,jennifer.rodriguez202@example.com,,,0,usd,False,India,Bangalore,none,2025-05-01T18:35:00Z
cus_78d64bea772940cc9d4818a7,William Martin,william.martin965@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-01T17:09:00Z
cus_75b3780ed34d4a5f998c6cb8,Robert Robinson,robert.robinson885@example.com,,,0,usd,False,France,Paris,none,2025-05-01T08:05:00Z
cus_3d2da44e2a924841aebd98e9,Ryan Lee,ryan.lee655@example.com,,,0,usd,False,Germany,Berlin,none,2025-05-01T08:31:00Z
cus_c8555560ad0249bf9f1b1a36,James Jackson,james.jackson565@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-02T14:00:00Z
cus_201ae0c2a19d49ab99362be5,Mary Moore,mary.moore833@example.com,,,0,usd,False,India,Bangalore,none,2025-05-02T19:43:00Z
cus_1af164bb01b14bd6bd1e06eb,Michael Moore,michael.moore153@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-02T11:12:00Z
cus_bb8770bc33204b38a13b502e,Maria Williams,maria.williams383@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-02T14:29:00Z
cus_b9d2686b2791406a98abc99a,Jennifer Perez,jennifer.perez879@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-02T18:48:00Z
cus_85e91144549244f48063ff43,Patricia Perez,patricia.perez10@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-02T19:10:00Z
cus_0caf207fc0cc44698e74c64a,Michael Young,michael.young541@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-02T22:02:00Z
cus_b3e4a22a51164c07880246a6,John Thompson,john.thompson948@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-02T12:57:00Z
cus_be2c4e8f828846549c915787,Chris Smith,chris.smith985@example.com,,,0,usd,False,India,Bangalore,none,2025-05-02T11:37:00Z
cus_bf70f5f4aa23444990f452e1,Thomas White,thomas.white999@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-03T17:40:00Z
cus_2013c2b7b368409db9fe6ed3,William Lopez,william.lopez162@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-03T12:49:00Z
cus_c0793864164b4c1492d58cd5,James Johnson,james.johnson880@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-03T21:00:00Z
cus_8d2ada06a6854dd9a8e72007,Barbara Allen,barbara.allen984@example.com,,,0,usd,False,India,Bangalore,none,2025-05-03T21:02:00Z
cus_bbc451a09a814f1ebc177109,Jessica Anderson,jessica.anderson938@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-03T19:20:00Z
cus_33cc5a82d05f4c56aeeca101,Charles Martinez,charles.martinez701@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-04T09:30:00Z
cus_4faae9ec714d4f5b8a9a1b26,Thomas Perez,thomas.perez729@example.com,,,0,usd,False,France,Paris,none,2025-05-04T22:41:00Z
cus_7f161bf6c6bd4c67b1574da3,Maria Thompson,maria.thompson328@example.com,,,0,usd,False,India,Bangalore,none,2025-05-04T18:08:00Z
cus_09d2432af67c48bfaf1aaf69,Ryan Wilson,ryan.wilson398@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-04T19:02:00Z
cus_3984b1745b164c298c553ef7,Joseph Thompson,joseph.thompson548@example.com,,,0,usd,False,United States,New York,none,2025-05-04T18:50:00Z
cus_b80ed523f17b4368ae0b90ca,William Robinson,william.robinson674@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-04T22:35:00Z
cus_4c777beb61c24ff59e2de53a,Barbara King,barbara.king697@example.com,,,0,usd,False,Canada,Toronto,none,2025-05-04T22:21:00Z
cus_40d2a23aa27340b3976773b1,James Martin,james.martin611@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-05T14:34:00Z
cus_2e667bfb754c465ca12dbe1c,Daniel Miller,daniel.miller423@example.com,,,0,usd,False,Canada,Toronto,none,2025-05-05T22:41:00Z
cus_e09d8576f40e442d918c6ff5,Thomas Miller,thomas.miller118@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-05T10:42:00Z
cus_f0387dba08bc439584102123,John Martinez,john.martinez688@example.com,,,0,usd,False,United Kingdom,London,none,2025-05-05T09:16:00Z
cus_359d8c96dd62453ba5e51c8c,Daniel Jones,daniel.jones688@example.com,,,0,usd,False,India,Bangalore,none,2025-05-05T18:15:00Z
cus_9826b9409c05419096df3dd6,Kevin Hernandez,kevin.hernandez632@example.com,,,0,usd,False,United States,New York,none,2025-05-05T18:19:00Z
cus_fffb1fdf5b6e4e13b7a214c6,Emma Garcia,emma.garcia5@example.com,,,0,usd,False,Australia,Sydney,none,2025-05-05T13:15:00Z
cus_ea5528fd983245a6888d4c56,Nancy Jones,nancy.jones696@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-05T19:21:00Z
cus_d08bf670a10647f6a7729ca8,Sophia Jackson,sophia.jackson112@example.com,,,0,usd,False,Australia,Sydney,none,2025-05-05T10:41:00Z
cus_00db39f37cb047d989089021,Mary Garcia,mary.garcia996@example.com,,,0,usd,False,India,Bangalore,none,2025-05-06T09:18:00Z
cus_757150eb08a94764a54d8e55,Elizabeth Smith,elizabeth.smith506@example.com,,,0,usd,False,United States,San Francisco,none,2025-05-06T11:21:00Z
